iter	Passed	Remaining
0	1	102
1	1	86
2	2	79
3	3	74
4	3	73
5	4	71
6	5	70
7	6	69
8	7	72
9	8	72
10	9	72
11	10	73
12	10	72
13	12	74
14	13	74
15	14	73
16	14	72
17	15	70
18	16	69
19	17	68
20	17	66
21	18	65
22	19	64
23	19	63
24	20	61
25	21	62
26	22	61
27	23	60
28	24	60
29	25	59
30	26	59
31	27	58
32	28	58
33	29	58
34	30	57
35	31	56
36	32	55
37	33	54
38	34	53
39	35	52
40	36	52
41	37	51
42	38	50
43	39	50
44	41	50
45	43	50
46	44	49
47	45	48
48	46	47
49	46	46
50	47	45
51	48	44
52	49	43
53	50	43
54	51	42
55	52	41
56	53	40
57	54	39
58	55	38
59	57	38
60	58	37
61	59	36
62	60	35
63	60	34
64	61	33
65	62	32
66	63	31
67	63	30
68	64	28
69	65	28
70	66	27
71	67	26
72	68	25
73	69	24
74	70	23
75	71	22
76	72	21
77	73	20
78	74	19
79	74	18
80	75	17
81	76	16
82	76	15
83	77	14
84	78	13
85	79	12
86	80	12
87	81	11
88	82	10
89	83	9
90	84	8
91	85	7
92	86	6
93	87	5
94	88	4
95	88	3
96	89	2
97	90	1
98	90	0
99	91	0
