iter	Passed	Remaining
0	234	233963
1	236	118197
2	240	79819
3	242	60276
4	243	48490
5	245	40626
6	247	35070
7	250	31051
8	253	27862
9	254	25205
10	256	23030
11	272	22428
12	274	20819
13	275	19428
14	278	18293
15	280	17228
16	281	16291
17	283	15450
18	284	14693
19	285	14000
20	287	13383
21	290	12926
22	293	12452
23	295	12001
24	296	11580
25	299	11201
26	300	10823
27	310	10762
28	324	10860
29	326	10541
30	327	10227
31	328	9931
32	329	9659
33	331	9405
34	339	9365
35	341	9132
36	342	8912
37	346	8768
38	347	8567
39	357	8575
40	358	8385
41	359	8205
42	360	8033
43	363	7901
44	371	7883
45	372	7734
46	374	7584
47	375	7443
48	383	7449
49	385	7328
50	386	7198
51	388	7075
52	389	6956
53	391	6852
54	392	6740
55	393	6635
56	397	6577
57	399	6483
58	402	6418
59	403	6328
60	408	6287
61	411	6221
62	413	6145
63	414	6066
64	415	5982
65	417	5903
66	418	5823
67	419	5750
68	426	5755
69	428	5687
70	429	5622
71	431	5561
72	435	5527
73	440	5517
74	442	5453
75	443	5389
76	444	5327
77	445	5266
78	451	5266
79	457	5257
80	458	5200
81	460	5150
82	460	5089
83	468	5104
84	469	5058
85	471	5008
86	472	4959
87	474	4914
88	475	4870
89	477	4823
90	479	4787
91	481	4755
92	484	4728
93	486	4684
94	487	4641
95	488	4599
96	490	4570
97	492	4534
98	497	4527
99	499	4494
100	501	4463
101	502	4423
102	504	4390
103	505	4352
104	506	4314
105	507	4277
106	510	4259
107	512	4236
108	514	4203
109	515	4173
110	517	4144
111	519	4121
112	526	4133
113	531	4130
114	533	4102
115	535	4083
116	545	4120
117	548	4096
118	549	4066
119	550	4038
120	552	4014
121	558	4020
122	561	4001
123	563	3979
124	565	3955
125	566	3929
126	567	3900
127	575	3920
128	577	3898
129	579	3876
130	580	3850
131	589	3875
132	593	3867
133	594	3844
134	596	3821
135	597	3796
136	602	3794
137	603	3769
138	605	3752
139	607	3729
140	608	3706
141	609	3680
142	613	3678
143	616	3664
144	617	3643
145	619	3621
146	620	3599
147	621	3577
148	626	3580
149	629	3569
150	631	3548
151	632	3528
152	634	3514
153	636	3494
154	641	3497
155	644	3488
156	646	3469
157	647	3449
158	649	3434
159	651	3422
160	655	3416
161	657	3403
162	660	3393
163	662	3378
164	664	3361
165	665	3343
166	666	3326
167	671	3327
168	673	3310
169	675	3298
170	676	3281
171	678	3264
172	680	3251
173	681	3234
174	684	3228
175	686	3212
176	687	3198
177	688	3181
178	689	3164
179	690	3147
180	691	3130
181	693	3115
182	694	3101
183	696	3087
184	700	3085
185	701	3070
186	702	3054
187	704	3042
188	705	3029
189	707	3014
190	710	3010
191	712	2998
192	715	2990
193	719	2989
194	727	3002
195	730	2996
196	734	2992
197	739	2995
198	742	2990
199	744	2976
200	745	2963
201	748	2958
202	760	2985
203	762	2977
204	765	2967
205	769	2967
206	771	2955
207	772	2942
208	773	2928
209	774	2915
210	776	2901
211	777	2888
212	778	2875
213	779	2862
214	780	2849
215	789	2867
216	791	2857
217	793	2847
218	799	2851
219	803	2847
220	804	2836
221	807	2828
222	808	2816
223	809	2803
224	811	2794
225	828	2837
226	836	2847
227	840	2847
228	846	2850
229	849	2843
230	851	2833
231	852	2822
232	853	2810
233	855	2799
234	856	2788
235	862	2791
236	865	2785
237	867	2776
238	881	2807
239	886	2807
240	887	2796
241	894	2803
242	897	2796
243	902	2795
244	905	2790
245	912	2797
246	915	2791
247	918	2783
248	919	2773
249	920	2762
250	926	2765
251	930	2761
252	931	2751
253	934	2744
254	935	2734
255	950	2761
256	956	2766
257	959	2760
258	962	2754
259	974	2772
260	977	2767
261	985	2777
262	988	2770
263	991	2763
264	992	2753
265	1003	2769
266	1009	2770
267	1010	2759
268	1015	2760
269	1021	2762
270	1034	2782
271	1035	2771
272	1039	2767
273	1047	2774
274	1050	2769
275	1054	2766
276	1056	2758
277	1078	2801
278	1081	2794
279	1082	2784
280	1085	2778
281	1089	2773
282	1091	2765
283	1092	2755
284	1094	2745
285	1096	2736
286	1099	2730
287	1108	2739
288	1115	2744
289	1140	2791
290	1143	2784
291	1144	2775
292	1146	2767
293	1148	2757
294	1156	2764
295	1158	2756
296	1162	2751
297	1164	2742
298	1170	2743
299	1171	2733
300	1174	2727
301	1178	2724
302	1202	2767
303	1239	2837
304	1245	2838
305	1261	2861
306	1272	2872
307	1285	2888
308	1303	2915
309	1334	2970
310	1339	2967
311	1355	2988
312	1357	2979
313	1363	2978
314	1365	2969
315	1367	2959
316	1368	2949
317	1373	2945
318	1375	2936
319	1381	2934
320	1393	2946
321	1395	2939
322	1406	2948
323	1443	3011
324	1445	3003
325	1453	3004
326	1454	2994
327	1462	2996
328	1472	3003
329	1474	2992
330	1476	2983
331	1477	2973
332	1485	2974
333	1497	2985
334	1501	2980
335	1513	2991
336	1534	3017
337	1542	3021
338	1591	3103
339	1594	3095
340	1595	3083
341	1597	3072
342	1598	3061
343	1599	3051
344	1601	3040
345	1602	3028
346	1603	3018
347	1605	3008
348	1606	2997
349	1608	2986
350	1609	2976
351	1611	2966
352	1617	2965
353	1619	2954
354	1620	2943
355	1621	2932
356	1622	2921
357	1623	2911
358	1632	2915
359	1648	2930
360	1650	2920
361	1683	2966
362	1685	2957
363	1688	2950
364	1694	2948
365	1698	2942
366	1700	2932
367	1702	2924
368	1704	2914
369	1709	2910
370	1717	2911
371	1718	2901
372	1730	2909
373	1733	2901
374	1734	2890
375	1743	2892
376	1745	2884
377	1746	2874
378	1748	2864
379	1749	2853
380	1751	2846
381	1761	2850
382	1763	2841
383	1779	2855
384	1782	2847
385	1790	2847
386	1791	2837
387	1792	2827
388	1793	2817
389	1794	2807
390	1796	2797
391	1797	2787
392	1798	2777
393	1799	2767
394	1807	2768
395	1808	2759
396	1810	2749
397	1811	2739
398	1812	2729
399	1813	2719
400	1814	2710
401	1815	2700
402	1821	2698
403	1822	2689
404	1824	2680
405	1825	2670
406	1826	2660
407	1827	2651
408	1829	2643
409	1837	2644
410	1838	2634
411	1839	2625
412	1840	2615
413	1841	2606
414	1841	2596
415	1842	2586
416	1844	2578
417	1845	2569
418	1851	2567
419	1852	2558
420	1853	2549
421	1854	2539
422	1855	2530
423	1855	2521
424	1857	2512
425	1858	2504
426	1859	2495
427	1860	2486
428	1863	2480
429	1864	2471
430	1865	2462
431	1866	2453
432	1866	2444
433	1867	2435
434	1868	2426
435	1869	2417
436	1869	2408
437	1870	2400
438	1871	2391
439	1872	2383
440	1873	2374
441	1873	2365
442	1874	2357
443	1875	2348
444	1876	2340
445	1877	2332
446	1878	2324
447	1879	2315
448	1880	2307
449	1881	2299
450	1882	2290
451	1882	2282
452	1883	2274
453	1884	2266
454	1884	2257
455	1885	2249
456	1886	2241
457	1887	2233
458	1887	2224
459	1888	2216
460	1889	2209
461	1890	2201
462	1891	2193
463	1891	2185
464	1892	2177
465	1893	2169
466	1894	2161
467	1894	2154
468	1895	2146
469	1896	2138
470	1897	2130
471	1898	2123
472	1898	2115
473	1899	2108
474	1900	2100
475	1901	2092
476	1901	2085
477	1902	2077
478	1903	2070
479	1904	2062
480	1904	2055
481	1905	2048
482	1906	2040
483	1907	2033
484	1908	2026
485	1908	2018
486	1909	2011
487	1910	2004
488	1911	1997
489	1911	1989
490	1912	1982
491	1913	1975
492	1913	1968
493	1914	1961
